tag,x,y
left,-17.0129,9.72719
left,-15.5443,12.0063
left,-12.7541,12.8712
left,-8.31569,13.0924
left,-4.06552,13.3637
left,-0.131239,13.3125
left,3.50416,13.7245
left,7.13676,14.727
left,9.62956,15.8379
left,12.492,17.0404
left,15.1389,16.5025
left,17.5221,15.3812
left,19.5034,13.6361
left,20.8922,11.7012
left,21.4761,8.79574
left,20.9992,5.27662
left,19.9925,2.24053
left,19.0983,-0.671871
left,17.1824,-3.23994
left,14.2831,-5.26437
left,11.114,-6.74408
left,8.25363,-8.53889
left,5.06185,-10.1551
left,1.42086,-11.9634
left,-2.4975,-14.0305
left,-5.74864,-16.1217
left,-9.34841,-17.1551
left,-12.2114,-16.6459
left,-14.4625,-14.9249
left,-16.2427,-13.276
left,-17.8615,-11.5349
left,-19.1945,-8.52656
left,-18.9382,-5.15509
left,-18.8625,-4.02997
left,-18.6872,-0.45783
left,-18.1384,2.83132
left,-17.8432,6.27091
left,-17.0129,9.72719
right,-12.2686,6.61784
right,-13.3484,4.84491
right,-9.65737,7.2378
right,-6.90273,7.20128
right,-3.80615,7.33616
right,-0.595997,7.27843
right,2.90884,7.57594
right,7.33516,9.03961
right,10.548,10.5892
right,13.1479,11.1316
right,15.2725,10.0791
right,16.8037,8.23821
right,16.7063,6.10772
right,15.876,3.47906
right,15.106,1.5027
right,13.6765,-0.472612
right,12.0732,-1.43122
right,9.41953,-2.84739
right,7.26282,-3.9408
right,4.65159,-5.15509
right,1.78774,-6.66723
right,-1.97969,-8.56329
right,-5.18123,-10.5555
right,-8.34841,-12.1551
right,-9.78487,-11.8592
right,-11.3484,-11.1551
right,-13.2946,-8.64709
right,-14.2998,-6.05581
right,-14.0528,-3.05427
right,-13.6807,-0.101053
right,-12.2686,6.61784
